gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,Split( )(MultipleLines)_0,Split( )(OnlineSecurity)_0,Split( )(OnlineBackup)_0,Split( )(DeviceProtection)_0,Split( )(TechSupport)_0,Split( )(StreamingTV)_0,Split( )(StreamingMovies)_0,Split(-)(Contract)_1,Split( )(PaymentMethod)_1,Split(.)(TotalCharges)_1,SplitAlign( )(MultipleLines)_No,SplitAlign( )(MultipleLines)_Yes,SplitAlign( )(MultipleLines)_phone,SplitAlign( )(InternetService)_DSL,SplitAlign( )(InternetService)_Fiber,SplitAlign( )(InternetService)_No,SplitAlign( )(OnlineSecurity)_No,SplitAlign( )(OnlineSecurity)_Yes,SplitAlign( )(OnlineBackup)_No,SplitAlign( )(OnlineBackup)_Yes,SplitAlign( )(DeviceProtection)_No,SplitAlign( )(DeviceProtection)_Yes,SplitAlign( )(TechSupport)_No,SplitAlign( )(TechSupport)_Yes,SplitAlign( )(StreamingTV)_No,SplitAlign( )(StreamingTV)_Yes,SplitAlign( )(StreamingMovies)_No,SplitAlign( )(StreamingMovies)_Yes,SplitAlign( )(Contract)_Month-to-month,SplitAlign( )(Contract)_One,SplitAlign( )(Contract)_Two,SplitAlign( )(Contract)_year,SplitAlign( )(PaymentMethod)_(automatic),SplitAlign( )(PaymentMethod)_Bank,SplitAlign( )(PaymentMethod)_Credit,SplitAlign( )(PaymentMethod)_Electronic,SplitAlign( )(PaymentMethod)_Mailed,SplitAlign( )(PaymentMethod)_check,ExtractNumber((\d+))(customerID)_0,ExtractNumber((\d+\.\d+))(TotalCharges)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(TotalCharges)_0",ExtractNumber((\d{2}))(TotalCharges)_0,ExtractNumber((\d{4}))(TotalCharges)_0,ExtractNumber((\d+))(TotalCharges)_0,"ExtractWord([Month, year])(Contract)_0","ExtractWord([automatic, check])(PaymentMethod)_0",OneHot()(MultipleLines)_No,OneHot()(OnlineSecurity)_No,OneHot()(OnlineBackup)_No,OneHot()(DeviceProtection)_No,OneHot()(TechSupport)_No,OneHot()(StreamingTV)_No,OneHot()(StreamingMovies)_No,ExtractNumber((\d{4}))(Split(.)(TotalCharges)_0)_0,ExtractNumber((\d+))(Split(.)(TotalCharges)_1)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(Split(.)(TotalCharges)_1)_0",ExtractNumber((\d{2}))(Split(.)(TotalCharges)_1)_0,Numerical()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1,OneHot()(Split(.)(TotalCharges)_1)_05,OneHot()(Split(.)(TotalCharges)_1)_1,OneHot()(Split(.)(TotalCharges)_1)_15,OneHot()(Split(.)(TotalCharges)_1)_2,OneHot()(Split(.)(TotalCharges)_1)_25,OneHot()(Split(.)(TotalCharges)_1)_3,OneHot()(Split(.)(TotalCharges)_1)_35,OneHot()(Split(.)(TotalCharges)_1)_4,OneHot()(Split(.)(TotalCharges)_1)_45,OneHot()(Split(.)(TotalCharges)_1)_5,OneHot()(Split(.)(TotalCharges)_1)_55,OneHot()(Split(.)(TotalCharges)_1)_6,OneHot()(Split(.)(TotalCharges)_1)_65,OneHot()(Split(.)(TotalCharges)_1)_7,OneHot()(Split(.)(TotalCharges)_1)_75,OneHot()(Split(.)(TotalCharges)_1)_8,OneHot()(Split(.)(TotalCharges)_1)_85,OneHot()(Split(.)(TotalCharges)_1)_9,OneHot()(Split(.)(TotalCharges)_1)_95,WordToNumber()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1,ExtractNumber((\d+))(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0",ExtractNumber((\d{2}))(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,ExtractNumber((\d+))(ModeImputation()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,ExtractNumber((\d{2}))(ModeImputation()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,Numerical()(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1,OneHot()(ModeImputation()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_45,WordToNumber()(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,No,No,No,Yes,No,No,No,No,to,check,85,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,7590.0,29.85,29.85,29.0,nan,29.0,Month,check,0,1,0,1,1,1,1,nan,85.0,85.0,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,85.0
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,No,No,Yes,No,Yes,No,No,No,nan,check,5,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,5575.0,1889.5,1889.5,nan,1889.0,1889.0,year,check,1,0,1,0,1,1,1,1889.0,5.0,5.0,nan,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,nan,5.0,nan,5.0,0,5.0
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,Yes,No,Yes,Yes,No,No,No,No,to,check,15,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,3668.0,108.15,108.15,15.0,nan,108.0,Month,check,1,0,0,1,1,1,1,nan,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,No,No,Yes,No,Yes,Yes,No,No,nan,transfer,75,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,7795.0,1840.75,1840.75,75.0,1840.0,1840.0,year,automatic,0,0,1,0,0,1,1,1840.0,75.0,75.0,75.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0,75.0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,Yes,No,No,No,No,No,No,No,to,check,65,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,9237.0,151.65,151.65,65.0,nan,151.0,Month,check,1,1,1,1,1,1,1,nan,65.0,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0,65.0
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,Yes,Yes,No,No,Yes,No,Yes,Yes,to,check,5,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,9305.0,820.5,820.5,nan,nan,820.0,Month,check,0,1,1,0,1,0,0,nan,5.0,5.0,nan,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,nan,5.0,nan,5.0,0,5.0
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,No,Yes,No,Yes,No,No,Yes,No,to,card,4,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1452.0,1949.4,1949.4,nan,1949.0,1949.0,Month,automatic,0,1,0,1,1,0,1,1949.0,4.0,4.0,nan,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,nan,4.0,nan,4.0,0,4.0
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,No,No,Yes,No,No,No,No,No,to,check,9,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,6713.0,301.9,301.9,nan,nan,301.0,Month,check,0,0,1,1,1,1,1,nan,9.0,9.0,nan,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0,9.0,9.0,nan,9.0,nan,9.0,0,9.0
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,Yes,Yes,No,No,Yes,Yes,Yes,Yes,to,check,05,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,7892.0,3046.05,3046.05,5.0,3046.0,3046.0,Month,check,0,1,1,0,0,0,0,3046.0,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,5.0
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,No,No,Yes,Yes,No,No,No,No,nan,transfer,95,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,6388.0,3487.95,3487.95,95.0,3487.0,3487.0,year,automatic,1,0,0,1,1,1,1,3487.0,95.0,95.0,95.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0,95.0
