GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
2.4,2,1,430,nan,315.0,1,9.0,2.0,9,nan,1,1.0,1,1,3,3.0,1,1.0,5.0,Arabic cuisine,3,1.0,2,5,2,5,2,8,5,5,5,1,1.0,1.0,5,1.0,1,2,5.0,3.0,1.0,1.0,1,1165.0,345,5,1,1315,187
3.654,1,1,610,3.0,420.0,2,1.0,3.0,1,1.0,2,2.0,1,2,2,2.0,4,1.0,2.0,Italian,1,1.0,1,4,4,4,5,3,4,4,4,1,2.0,4.0,4,1.0,1,4,4.0,3.0,1.0,1.0,2,725.0,690,4,2,900,155
3.3,1,1,720,4.0,420.0,2,1.0,1.0,1,3.0,3,1.0,1,3,2,3.0,5,2.0,2.0,italian,1,3.0,1,5,3,5,6,6,6,5,5,7,2.0,2.0,4,2.0,1,3,5.0,6.0,1.0,2.0,5,1165.0,500,5,1,900,I'm not answering this. 
3.2,1,1,430,3.0,420.0,2,2.0,2.0,2,2.0,2,2.0,1,3,2,3.0,5,3.0,2.0,Turkish ,3,1.0,2,4,4,5,7,2,6,5,5,2,2.0,4.0,2,1.0,1,2,5.0,5.0,1.0,2.0,5,725.0,690,3,1,1315,"Not sure, 240"
3.5,1,1,720,2.0,420.0,2,1.0,1.0,1,2.0,2,2.0,3,4,2,2.0,4,1.0,4.0,Italian ,1,3.0,1,4,4,4,6,2,6,2,5,1,1.0,5.0,3,1.0,1,4,2.0,4.0,1.0,1.0,4,940.0,500,4,2,760,190
2.25,1,1,610,3.0,980.0,2,4.0,3.0,4,nan,2,2.0,1,3,1,3.0,4,2.0,1.0,African,6,3.0,1,2,2,2,4,2,1,5,5,4,2.0,1.0,1,1.0,2,5,5.0,5.0,1.0,2.0,4,940.0,345,1,2,1315,190
3.8,2,1,610,3.0,420.0,2,1.0,2.0,1,1.0,3,1.0,2,5,2,3.0,5,1.0,4.0,Thai,4,1.0,1,4,4,5,4,2,4,5,5,8,1.0,4.0,4,2.0,2,2,5.0,4.0,1.0,1.0,5,940.0,690,4,1,1315,180
3.3,1,1,720,3.0,420.0,1,1.0,3.0,1,1.0,1,2.0,2,5,2,2.0,2,2.0,3.0,Anything american style.,5,1.0,1,5,2,3,3,2,5,1,3,3,1.0,2.0,4,1.0,1,5,1.0,3.0,1.0,2.0,1,725.0,500,4,2,1315,137
3.3,1,1,430,nan,420.0,1,2.0,3.0,2,1.0,1,1.0,2,8,5,2.0,5,nan,5.0,Seafood,1,3.0,1,4,1,5,7,6,5,5,5,8,2.0,5.0,2,1.0,2,3,5.0,4.0,2.0,2.0,5,725.0,345,3,2,760,180
3.3,1,1,430,3.0,315.0,2,1.0,3.0,1,1.0,1,1.0,1,3,3,3.0,5,1.0,5.0,Italian ,1,1.0,1,5,1,5,3,2,4,4,5,3,2.0,5.0,5,1.0,3,3,4.0,3.0,1.0,1.0,4,580.0,345,5,1,900,125
3.5,1,1,610,3.0,980.0,2,2.0,1.0,2,1.0,1,2.0,3,4,2,1.0,5,1.0,2.0,Orange chicken and chow mani noodles ,4,1.0,1,5,3,1,9,7,3,1,5,8,1.0,4.0,2,3.0,1,2,2.0,1.0,1.0,1.0,2,940.0,345,5,2,900,116
