GPA,Gender,breakfast,calories_chicken,calories_scone,coffee,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight,"Split(,)(comfort_food_reasons)_0",Split( )(comfort_food_reasons)_0,Split( )(diet_current)_0,Split( )(diet_current)_1,Split( )(eating_changes)_0,Split( )(fav_cuisine)_0,Split( -)(fav_cuisine)_0,Split(/)(fav_cuisine)_0,Split( )(food_childhood)_0,Split( )(ideal_diet)_0,Split( )(ideal_diet)_1,Split( )(meals_dinner_friend)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(weight)_0","ExtractWord([Chocolate, Pizza, and, cake, chips, cookies, cream, pizza])(comfort_food)_0","ExtractWord([Boredom, I, Sadness, Stress, bored, boredom, sadness])(comfort_food_reasons)_0","ExtractWord([and, eat, healthy])(diet_current)_0","ExtractWord([I, Less, More, eat, eating, food, less, to])(eating_changes)_0","ExtractWord([Chicken, Pasta, Pizza, Spaghetti, Steak, and, chicken, pizza, steak])(food_childhood)_0","ExtractWord([and, food, of, vegetable, vegetables, veggies])(healthy_meal)_0","ExtractWord([I, a, and, diet, healthy])(ideal_diet)_0","ExtractWord([Chicken, Pasta, Pizza, and, chicken, pasta, steak])(meals_dinner_friend)_0",Lowercase()(fav_cuisine)_fav_cuisine,OneHot()(calories_chicken)_265,OneHot()(calories_chicken)_430,OneHot()(calories_chicken)_610,OneHot()(calories_chicken)_720,OneHot()(comfort_food_reasons_coded.1)_1,OneHot()(comfort_food_reasons_coded.1)_2,OneHot()(comfort_food_reasons_coded.1)_3,OneHot()(comfort_food_reasons_coded.1)_4,OneHot()(comfort_food_reasons_coded.1)_5,OneHot()(comfort_food_reasons_coded.1)_6,OneHot()(comfort_food_reasons_coded.1)_7,OneHot()(comfort_food_reasons_coded.1)_9,OneHot()(diet_current_coded)_1,OneHot()(diet_current_coded)_2,OneHot()(diet_current_coded)_3,OneHot()(diet_current_coded)_4,OneHot()(eating_changes_coded)_1,OneHot()(eating_changes_coded)_2,OneHot()(eating_changes_coded)_3,OneHot()(eating_changes_coded)_4,OneHot()(eating_changes_coded1)_2,OneHot()(eating_changes_coded1)_3,OneHot()(eating_changes_coded1)_5,OneHot()(eating_changes_coded1)_7,OneHot()(eating_changes_coded1)_8,OneHot()(eating_changes_coded1)_10,OneHot()(eating_changes_coded1)_11,OneHot()(eating_changes_coded1)_12,OneHot()(eating_out)_1,OneHot()(eating_out)_2,OneHot()(eating_out)_3,OneHot()(eating_out)_4,OneHot()(eating_out)_5,OneHot()(ethnic_food)_1,OneHot()(ethnic_food)_2,OneHot()(ethnic_food)_3,OneHot()(ethnic_food)_4,OneHot()(ethnic_food)_5,OneHot()(fav_cuisine_coded)_0,OneHot()(fav_cuisine_coded)_1,OneHot()(fav_cuisine_coded)_2,OneHot()(fav_cuisine_coded)_3,OneHot()(fav_cuisine_coded)_4,OneHot()(fav_cuisine_coded)_5,OneHot()(fav_cuisine_coded)_8,OneHot()(fruit_day)_2,OneHot()(fruit_day)_3,OneHot()(fruit_day)_4,OneHot()(fruit_day)_5,OneHot()(grade_level)_1,OneHot()(grade_level)_2,OneHot()(grade_level)_3,OneHot()(grade_level)_4,OneHot()(greek_food)_1,OneHot()(greek_food)_2,OneHot()(greek_food)_3,OneHot()(greek_food)_4,OneHot()(greek_food)_5,OneHot()(healthy_feeling)_1,OneHot()(healthy_feeling)_2,OneHot()(healthy_feeling)_3,OneHot()(healthy_feeling)_4,OneHot()(healthy_feeling)_5,OneHot()(healthy_feeling)_6,OneHot()(healthy_feeling)_7,OneHot()(healthy_feeling)_8,OneHot()(healthy_feeling)_9,OneHot()(healthy_feeling)_10,OneHot()(ideal_diet_coded)_1,OneHot()(ideal_diet_coded)_2,OneHot()(ideal_diet_coded)_3,OneHot()(ideal_diet_coded)_4,OneHot()(ideal_diet_coded)_5,OneHot()(ideal_diet_coded)_6,OneHot()(ideal_diet_coded)_7,OneHot()(ideal_diet_coded)_8,OneHot()(income)_1,OneHot()(income)_2,OneHot()(income)_3,OneHot()(income)_4,OneHot()(income)_5,OneHot()(income)_6,OneHot()(indian_food)_1,OneHot()(indian_food)_2,OneHot()(indian_food)_3,OneHot()(indian_food)_4,OneHot()(indian_food)_5,OneHot()(italian_food)_3,OneHot()(italian_food)_4,OneHot()(italian_food)_5,OneHot()(life_rewarding)_1,OneHot()(life_rewarding)_2,OneHot()(life_rewarding)_3,OneHot()(life_rewarding)_4,OneHot()(life_rewarding)_5,OneHot()(life_rewarding)_6,OneHot()(life_rewarding)_7,OneHot()(life_rewarding)_8,OneHot()(life_rewarding)_9,OneHot()(life_rewarding)_10,OneHot()(nutritional_check)_1,OneHot()(nutritional_check)_2,OneHot()(nutritional_check)_3,OneHot()(nutritional_check)_4,OneHot()(nutritional_check)_5,OneHot()(parents_cook)_1,OneHot()(parents_cook)_2,OneHot()(parents_cook)_3,OneHot()(pay_meal_out)_2,OneHot()(pay_meal_out)_3,OneHot()(pay_meal_out)_4,OneHot()(pay_meal_out)_5,OneHot()(pay_meal_out)_6,OneHot()(thai_food)_1,OneHot()(thai_food)_2,OneHot()(thai_food)_3,OneHot()(thai_food)_4,OneHot()(thai_food)_5,OneHot()(turkey_calories)_345,OneHot()(turkey_calories)_500,OneHot()(turkey_calories)_690,OneHot()(turkey_calories)_850,OneHot()(veggies_day)_2,OneHot()(veggies_day)_3,OneHot()(veggies_day)_4,OneHot()(veggies_day)_5,OneHot()(waffle_calories)_575,OneHot()(waffle_calories)_760,OneHot()(waffle_calories)_900,OneHot()(waffle_calories)_1315,NaN(Anything american style.)(fav_cuisine)_fav_cuisine,NaN(Any type of Colombian cuisine)(fav_cuisine)_fav_cuisine,NaN(I'm not answering this. )(weight)_weight,WordToNumber()(weight)_weight
2.4,2,1,430,315.0,1,2.0,9,nan,1,1.0,1,1,3,3.0,1,1.0,5.0,Arabic cuisine,3,1.0,2,5,2,5,2,8,5,5,5,1,1.0,1.0,5,1.0,1,2,5.0,3.0,1.0,1.0,1,1165.0,345,5,1,1315,187,we dont have comfort ,we,eat,good,eat,Arabic,Arabic cuisine,Arabic cuisine,rice,being,healthy,"rice,",187.0,nan,nan,eat,eat,and,nan,healthy,chicken,arabic cuisine,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Arabic cuisine,Arabic cuisine,187,187.0
3.654,1,1,610,420.0,2,3.0,1,1.0,2,2.0,1,2,2,2.0,4,1.0,2.0,Italian,1,1.0,1,4,4,4,5,3,4,4,4,1,2.0,4.0,4,1.0,1,4,4.0,3.0,1.0,1.0,2,725.0,690,4,2,900,155,Stress,"Stress,",I,eat,I,Italian,Italian,Italian,chicken,Try,to,"Pasta,",155.0,chips,Stress,eat,I,chicken,of,a,Pasta,italian,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Italian,Italian,155,155.0
3.3,1,1,720,420.0,2,1.0,1,3.0,3,1.0,1,3,2,3.0,5,2.0,2.0,italian,1,3.0,1,5,3,5,6,6,6,5,5,7,2.0,2.0,4,2.0,1,3,5.0,6.0,1.0,2.0,5,1165.0,500,5,1,900,I'm not answering this. ,stress,"stress,",toast,and,sometimes,italian,italian,italian,mac,i,would,chicken,nan,pizza,sadness,and,to,and,food,a,chicken,italian,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,italian,italian,nan,nan
3.2,1,1,430,420.0,2,2.0,2,2.0,2,2.0,1,3,2,3.0,5,3.0,2.0,Turkish ,3,1.0,2,4,4,5,7,2,6,5,5,2,2.0,4.0,2,1.0,1,2,5.0,5.0,1.0,2.0,5,725.0,690,3,1,1315,"Not sure, 240",Boredom,Boredom,College,"diet,",Accepting,Turkish,Turkish ,Turkish ,Beef,"Healthy,",fresh,Grilled,240.0,Pizza,Boredom,and,to,pizza,vegetable,a,chicken,turkish ,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,Turkish ,Turkish ,"Not sure, 240",nan
3.5,1,1,720,420.0,2,1.0,1,2.0,2,2.0,3,4,2,2.0,4,1.0,4.0,Italian ,1,3.0,1,4,4,4,6,2,6,2,5,1,1.0,5.0,3,1.0,1,4,2.0,4.0,1.0,1.0,4,940.0,500,4,2,760,190,Stress,"Stress,",I,try,I,Italian,Italian ,Italian ,"Pasta,",Ideally,I,Chicken,190.0,cream,Stress,eat,I,Pasta,vegetable,I,Chicken,italian ,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,Italian ,Italian ,190,190.0
2.25,1,1,610,980.0,2,3.0,4,nan,2,2.0,1,3,1,3.0,4,2.0,1.0,African,6,3.0,1,2,2,2,4,2,1,5,5,4,2.0,1.0,1,1.0,2,5,5.0,5.0,1.0,2.0,4,940.0,345,1,2,1315,190,None,"None,",My,current,Eating,African,African,African,"Fries,",My,ideal,Anything,190.0,and,I,eat,less,nan,veggies,a,and,african,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,African,African,190,190.0
3.8,2,1,610,420.0,2,2.0,1,1.0,3,1.0,2,5,2,3.0,5,1.0,4.0,Thai,4,1.0,1,4,4,5,4,2,4,5,5,8,1.0,4.0,4,2.0,2,2,5.0,4.0,1.0,1.0,5,940.0,690,4,1,1315,180,stress,"stress,",I,eat,I,Thai,Thai,Thai,grilled,I,would,Grilled,180.0,Chocolate,boredom,eat,I,chicken,vegetable,I,chicken,thai,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,Thai,Thai,180,180.0
3.3,1,1,720,420.0,1,3.0,1,1.0,1,2.0,2,5,2,2.0,2,2.0,3.0,Anything american style.,5,1.0,1,5,2,3,3,2,5,1,3,3,1.0,2.0,4,1.0,1,5,1.0,3.0,1.0,2.0,1,725.0,500,4,2,1315,137,I eat comfort food when im stressed out from school(finals week),I,I,eat,Freshmen,Anything,Anything american style.,Anything american style.,"chicken,",My,ideal,"chicken,",137.0,cream,I,eat,nan,chicken,of,a,chicken,anything american style.,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,nan,Anything american style.,137,137.0
3.3,1,1,430,420.0,1,3.0,2,1.0,1,1.0,2,8,5,2.0,5,nan,5.0,Seafood,1,3.0,1,4,1,5,7,6,5,5,5,8,2.0,5.0,2,1.0,2,3,5.0,4.0,2.0,2.0,5,725.0,345,3,2,760,180,Boredom ,Boredom,I,eat,I,Seafood,Seafood,Seafood,"Shrimp,",The,same,"Pasta,",180.0,cream,Boredom,eat,I,nan,nan,a,Pasta,seafood,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,Seafood,Seafood,180,180.0
3.3,1,1,430,315.0,2,3.0,1,1.0,1,1.0,1,3,3,3.0,5,1.0,5.0,Italian ,1,1.0,1,5,1,5,3,2,4,4,5,3,2.0,5.0,5,1.0,3,3,4.0,3.0,1.0,1.0,4,580.0,345,5,1,900,125,Stress,"Stress,",I,eat,I,Italian,Italian ,Italian ,"Pasta,",Lots,of,pasta,125.0,and,Stress,eat,I,Pasta,and,a,pasta,italian ,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,Italian ,Italian ,125,125.0
