Name,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Hambone,Return_to_owner,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
Emily,Euthanasia,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
Pearce,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
nan,Transfer,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
Elsa,Transfer,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
Jimmy,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
nan,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
Lucy,Adoption,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
nan,Adoption,Dog,Spayed Female,1 year,Cairn Terrier,White
nan,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
nan,Adoption,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
Rocket,Adoption,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
Scooter,Return_to_owner,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
Preston,Return_to_owner,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
Oliver,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
Chrissy,Transfer,Cat,Intact Female,2 years,Angora Mix,White
Kuma,Return_to_owner,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
Anders,Transfer,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
Munchkin,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
Jamaica,Adoption,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
Quattro,Adoption,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
Trigger,Return_to_owner,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
Olive,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
Nia,Adoption,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
Chloe,Adoption,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
Cymbale,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
Jax,Return_to_owner,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
nan,Euthanasia,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
Murphy,Transfer,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
