issue_date,condition,color_type,length(m),height(cm),X1,X2,pet_category,Split(-)(issue_date)_0,Split(-)(issue_date)_1,Split(-)(issue_date)_2,Split(-)(listing_date)_0,Split(-)(listing_date)_1,Split(:)(listing_date)_0,Split(:)(listing_date)_1,Split( )(listing_date)_0,Split( )(listing_date)_1,Split( )(color_type)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(pet_id)_0","ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(issue_date)_0",ExtractNumber((\d{2}))(issue_date)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(listing_date)_0",ExtractNumber((\d{2}))(listing_date)_0,OneHot()(X2)_0,OneHot()(X2)_1,OneHot()(X2)_4,OneHot()(X2)_7,OneHot()(X2)_9
2016-07-10 00:00:00,2.0,Brown Tabby,0.8,7.78,13,9,1,2016,07,10 00:00:00,2016,09,2016-09-21 16,25,2016-09-21,16:25:00,Brown,69903.0,2016.0,7.0,2016.0,9.0,0,0,0,0,1
2013-11-21 00:00:00,1.0,White,0.72,14.19,13,9,2,2013,11,21 00:00:00,2018,12,2018-12-27 17,47,2018-12-27,17:47:00,White,66892.0,2013.0,11.0,2018.0,12.0,0,0,0,0,1
2014-09-28 00:00:00,nan,Brown,0.15,40.9,15,4,4,2014,09,28 00:00:00,2016,10,2016-10-19 08,24,2016-10-19,08:24:00,Brown,69750.0,2014.0,9.0,2016.0,10.0,0,0,1,0,0
2016-12-31 00:00:00,1.0,White,0.62,17.82,0,1,2,2016,12,31 00:00:00,2019,01,2019-01-25 18,30,2019-01-25,18:30:00,White,71623.0,2016.0,12.0,2019.0,1.0,0,1,0,0,0
2017-09-28 00:00:00,2.0,Black,0.5,11.06,18,4,1,2017,09,28 00:00:00,2017,11,2017-11-19 09,38,2017-11-19,09:38:00,Black,57969.0,2017.0,9.0,2017.0,11.0,0,0,1,0,0
2017-10-25 00:00:00,0.0,Red,0.92,29.56,0,7,2,2017,10,25 00:00:00,2019,03,2019-03-10 13,18,2019-03-10,13:18:00,Red,52200.0,2017.0,10.0,2019.0,3.0,0,0,0,1,0
2018-11-06 00:00:00,2.0,Brown Tabby,0.14,40.24,0,1,1,2018,11,06 00:00:00,2019,04,2019-04-09 16,00,2019-04-09,16:00:00,Brown,75444.0,2018.0,11.0,2019.0,4.0,0,1,0,0,0
2018-06-05 00:00:00,0.0,White,0.15,25.48,7,1,1,2018,06,05 00:00:00,2018,09,2018-09-02 17,04,2018-09-02,17:04:00,White,52759.0,2018.0,6.0,2018.0,9.0,0,1,0,0,0
2015-10-10 00:00:00,2.0,Brown,0.05,38.22,13,9,2,2015,10,10 00:00:00,2016,08,2016-08-04 16,29,2016-08-04,16:29:00,Brown,74632.0,2015.0,10.0,2016.0,8.0,0,0,0,0,1
2014-02-18 00:00:00,2.0,Brown,0.55,21.26,13,9,2,2014,02,18 00:00:00,2017,03,2017-03-17 11,38,2017-03-17,11:38:00,Brown,56464.0,2014.0,2.0,2017.0,3.0,0,0,0,0,1
2004-11-17 00:00:00,0.0,Tricolor,0.3,23.06,0,1,2,2004,11,17 00:00:00,2016,12,2016-12-15 13,33,2016-12-15,13:33:00,Tricolor,69485.0,2004.0,11.0,2016.0,12.0,0,1,0,0,0
2017-06-17 00:00:00,2.0,Brown Tabby,0.44,40.32,16,9,1,2017,06,17 00:00:00,2018,02,2018-02-08 09,00,2018-02-08,09:00:00,Brown,51014.0,2017.0,6.0,2018.0,2.0,0,0,0,0,1
2017-02-07 00:00:00,1.0,Black,0.2,30.78,13,9,2,2017,02,07 00:00:00,2019,05,2019-05-10 16,42,2019-05-10,16:42:00,Black,76771.0,2017.0,2.0,2019.0,5.0,0,0,0,0,1
2016-11-29 00:00:00,1.0,White,0.45,5.39,13,9,2,2016,11,29 00:00:00,2017,05,2017-05-31 00,00,2017-05-31,00:00:00,White,69252.0,2016.0,11.0,2017.0,5.0,0,0,0,0,1
2018-01-29 00:00:00,0.0,Calico,0.48,30.54,0,1,1,2018,01,29 00:00:00,2018,05,2018-05-02 17,46,2018-05-02,17:46:00,Calico,58085.0,2018.0,1.0,2018.0,5.0,0,1,0,0,0
