country,year,sex,age,suicides_no,population,country-year,gdp_per_capita ($),generation
Albania,1987,male,15-24 years,21.0,312900,Albania1987,796,Generation X
Albania,1987,male,35-54 years,16.0,308000,Albania1987,796,Silent
Albania,1987,female,15-24 years,14.0,289700,Albania1987,796,Generation X
Albania,1987,male,75+ years,1.0,21800,Albania1987,796,G.I. Generation
Albania,1987,male,25-34 years,9.0,274300,Albania1987,796,Boomers
Albania,1987,female,75+ years,1.0,35600,Albania1987,796,G.I. Generation
Albania,1987,female,35-54 years,6.0,278800,Albania1987,796,Silent
Albania,1987,female,25-34 years,4.0,257200,Albania1987,796,Boomers
Albania,1987,male,55-74 years,1.0,137500,Albania1987,796,G.I. Generation
Albania,1987,female,5-14 years,0.0,311000,Albania1987,796,Generation X
Albania,1987,female,55-74 years,0.0,144600,Albania1987,796,G.I. Generation
Albania,1987,male,5-14 years,0.0,338200,Albania1987,796,Generation X
Albania,1988,female,75+ years,2.0,36400,Albania1988,769,G.I. Generation
Albania,1988,male,15-24 years,17.0,319200,Albania1988,769,Generation X
Albania,1988,male,75+ years,1.0,22300,Albania1988,769,G.I. Generation
Albania,1988,male,35-54 years,14.0,314100,Albania1988,769,Silent
Albania,1988,male,55-74 years,4.0,140200,Albania1988,769,G.I. Generation
Albania,1988,female,15-24 years,8.0,295600,Albania1988,769,Generation X
Albania,1988,female,55-74 years,3.0,147500,Albania1988,769,G.I. Generation
Albania,1988,female,25-34 years,5.0,262400,Albania1988,769,Boomers
Albania,1988,male,25-34 years,5.0,279900,Albania1988,769,Boomers
Albania,1988,female,35-54 years,4.0,284500,Albania1988,769,Silent
Albania,1988,female,5-14 years,0.0,317200,Albania1988,769,Generation X
Albania,1988,male,5-14 years,0.0,345000,Albania1988,769,Generation X
Albania,1989,male,75+ years,2.0,22500,Albania1989,833,G.I. Generation
Albania,1989,male,25-34 years,18.0,283600,Albania1989,833,Boomers
Albania,1989,male,35-54 years,15.0,318400,Albania1989,833,Silent
Albania,1989,male,55-74 years,6.0,142100,Albania1989,833,G.I. Generation
Albania,1989,male,15-24 years,12.0,323500,Albania1989,833,Generation X
Albania,1989,female,35-54 years,7.0,288600,Albania1989,833,Silent
Albania,1989,female,15-24 years,5.0,299900,Albania1989,833,Generation X
Albania,1989,female,25-34 years,2.0,266300,Albania1989,833,Boomers
Albania,1989,female,55-74 years,1.0,149600,Albania1989,833,G.I. Generation
Albania,1989,female,5-14 years,0.0,321900,Albania1989,833,Generation X
Albania,1989,female,75+ years,0.0,37000,Albania1989,833,G.I. Generation
Albania,1989,male,5-14 years,0.0,349700,Albania1989,833,Generation X
Albania,1992,male,35-54 years,12.0,343800,Albania1992,251,Boomers
Albania,1992,male,15-24 years,9.0,263700,Albania1992,251,Generation X
Albania,1992,male,55-74 years,5.0,159500,Albania1992,251,Silent
Albania,1992,male,25-34 years,7.0,245500,Albania1992,251,Boomers
Albania,1992,female,15-24 years,7.0,292400,Albania1992,251,Generation X
Albania,1992,female,25-34 years,4.0,267400,Albania1992,251,Boomers
Albania,1992,female,35-54 years,2.0,323100,Albania1992,251,Boomers
Albania,1992,female,55-74 years,1.0,164900,Albania1992,251,Silent
Albania,1992,female,5-14 years,0.0,336700,Albania1992,251,Millenials
Albania,1992,female,75+ years,0.0,38700,Albania1992,251,G.I. Generation
Albania,1992,male,5-14 years,0.0,362900,Albania1992,251,Millenials
Albania,1992,male,75+ years,0.0,23900,Albania1992,251,G.I. Generation
Albania,1993,male,15-24 years,18.0,243300,Albania1993,437,Generation X
Albania,1993,male,55-74 years,7.0,165000,Albania1993,437,Silent
Albania,1993,male,75+ years,1.0,24200,Albania1993,437,G.I. Generation
Albania,1993,male,25-34 years,9.0,230100,Albania1993,437,Boomers
Albania,1993,female,15-24 years,10.0,285300,Albania1993,437,Generation X
Albania,1993,male,35-54 years,10.0,350300,Albania1993,437,Boomers
Albania,1993,female,25-34 years,7.0,261800,Albania1993,437,Boomers
Albania,1993,female,35-54 years,7.0,331200,Albania1993,437,Boomers
Albania,1993,female,55-74 years,2.0,169500,Albania1993,437,Silent
Albania,1993,female,5-14 years,1.0,340300,Albania1993,437,Millenials
Albania,1993,male,5-14 years,1.0,367000,Albania1993,437,Millenials
Albania,1993,female,75+ years,0.0,39300,Albania1993,437,G.I. Generation
Albania,1994,male,75+ years,2.0,24600,Albania1994,697,G.I. Generation
Albania,1994,male,55-74 years,11.0,171400,Albania1994,697,Silent
Albania,1994,female,75+ years,2.0,39900,Albania1994,697,G.I. Generation
Albania,1994,male,25-34 years,6.0,231400,Albania1994,697,Boomers
Albania,1994,male,35-54 years,9.0,362800,Albania1994,697,Boomers
Albania,1994,male,15-24 years,6.0,242200,Albania1994,697,Generation X
Albania,1994,female,15-24 years,6.0,282600,Albania1994,697,Generation X
Albania,1994,female,25-34 years,4.0,261100,Albania1994,697,Boomers
Albania,1994,female,35-54 years,2.0,342500,Albania1994,697,Boomers
Albania,1994,female,55-74 years,1.0,174600,Albania1994,697,Silent
Albania,1994,male,5-14 years,1.0,371800,Albania1994,697,Millenials
Albania,1994,female,5-14 years,0.0,344400,Albania1994,697,Millenials
Albania,1995,male,25-34 years,13.0,232900,Albania1995,835,Generation X
Albania,1995,male,55-74 years,9.0,178000,Albania1995,835,Silent
Albania,1995,female,75+ years,2.0,40800,Albania1995,835,G.I. Generation
Albania,1995,female,15-24 years,13.0,283500,Albania1995,835,Generation X
Albania,1995,male,15-24 years,11.0,241200,Albania1995,835,Generation X
Albania,1995,male,75+ years,1.0,25100,Albania1995,835,G.I. Generation
Albania,1995,male,35-54 years,14.0,375900,Albania1995,835,Boomers
Albania,1995,female,25-34 years,7.0,264000,Albania1995,835,Generation X
Albania,1995,female,35-54 years,8.0,356400,Albania1995,835,Boomers
Albania,1995,male,5-14 years,6.0,376500,Albania1995,835,Millenials
Albania,1995,female,55-74 years,2.0,180400,Albania1995,835,Silent
Albania,1995,female,5-14 years,2.0,348700,Albania1995,835,Millenials
Albania,1996,male,75+ years,2.0,25400,Albania1996,1127,G.I. Generation
Albania,1996,male,15-24 years,17.0,243600,Albania1996,1127,Generation X
Albania,1996,male,25-34 years,14.0,235300,Albania1996,1127,Generation X
Albania,1996,female,15-24 years,16.0,287700,Albania1996,1127,Generation X
Albania,1996,female,75+ years,2.0,41200,Albania1996,1127,G.I. Generation
Albania,1996,female,25-34 years,10.0,267900,Albania1996,1127,Generation X
Albania,1996,male,35-54 years,12.0,379600,Albania1996,1127,Boomers
Albania,1996,female,35-54 years,9.0,362000,Albania1996,1127,Boomers
Albania,1996,male,55-74 years,3.0,179900,Albania1996,1127,Silent
Albania,1996,female,55-74 years,1.0,183100,Albania1996,1127,Silent
Albania,1996,male,5-14 years,2.0,380400,Albania1996,1127,Millenials
Albania,1996,female,5-14 years,1.0,354100,Albania1996,1127,Millenials
Albania,1997,male,25-34 years,36.0,236000,Albania1997,793,Generation X
Albania,1997,male,15-24 years,33.0,244400,Albania1997,793,Generation X
Albania,1997,male,75+ years,3.0,25400,Albania1997,793,G.I. Generation
Albania,1997,male,35-54 years,30.0,380800,Albania1997,793,Boomers
Albania,1997,female,15-24 years,21.0,294000,Albania1997,793,Generation X
Albania,1997,male,55-74 years,12.0,180300,Albania1997,793,Silent
Albania,1997,female,25-34 years,16.0,273900,Albania1997,793,Generation X
Albania,1997,female,75+ years,2.0,42100,Albania1997,793,G.I. Generation
Albania,1997,female,35-54 years,7.0,370100,Albania1997,793,Boomers
Albania,1997,female,5-14 years,6.0,361800,Albania1997,793,Millenials
Albania,1997,male,5-14 years,4.0,381500,Albania1997,793,Millenials
Albania,1997,female,55-74 years,0.0,187000,Albania1997,793,Silent
Albania,1998,male,75+ years,3.0,25800,Albania1998,899,G.I. Generation
Albania,1998,male,15-24 years,27.0,248800,Albania1998,899,Generation X
Albania,1998,female,15-24 years,32.0,295600,Albania1998,899,Generation X
Albania,1998,male,25-34 years,26.0,240400,Albania1998,899,Generation X
Albania,1998,male,35-54 years,29.0,388200,Albania1998,899,Boomers
Albania,1998,male,55-74 years,9.0,183800,Albania1998,899,Silent
Albania,1998,female,25-34 years,10.0,275300,Albania1998,899,Generation X
Albania,1998,female,55-74 years,6.0,188200,Albania1998,899,Silent
Albania,1998,female,35-54 years,9.0,372100,Albania1998,899,Boomers
Albania,1998,male,5-14 years,2.0,388400,Albania1998,899,Millenials
Albania,1998,female,5-14 years,1.0,363800,Albania1998,899,Millenials
Albania,1998,female,75+ years,0.0,42300,Albania1998,899,G.I. Generation
Albania,1999,male,75+ years,3.0,25900,Albania1999,1127,G.I. Generation
Albania,1999,male,15-24 years,24.0,250600,Albania1999,1127,Generation X
Albania,1999,female,75+ years,4.0,42400,Albania1999,1127,G.I. Generation
Albania,1999,male,35-54 years,31.0,391100,Albania1999,1127,Boomers
Albania,1999,male,25-34 years,19.0,242300,Albania1999,1127,Generation X
Albania,1999,male,55-74 years,14.0,185200,Albania1999,1127,Silent
Albania,1999,female,15-24 years,19.0,296800,Albania1999,1127,Generation X
Albania,1999,female,25-34 years,13.0,276500,Albania1999,1127,Generation X
Albania,1999,female,55-74 years,6.0,188800,Albania1999,1127,Silent
Albania,1999,female,35-54 years,5.0,373600,Albania1999,1127,Boomers
Albania,1999,female,5-14 years,1.0,365200,Albania1999,1127,Millenials
Albania,1999,male,5-14 years,0.0,391300,Albania1999,1127,Millenials
Albania,2000,male,25-34 years,17.0,232000,Albania2000,1299,Generation X
Albania,2000,male,55-74 years,10.0,177400,Albania2000,1299,Silent
Albania,2000,female,75+ years,2.0,37800,Albania2000,1299,G.I. Generation
Albania,2000,male,75+ years,1.0,24900,Albania2000,1299,G.I. Generation
Albania,2000,female,15-24 years,6.0,263900,Albania2000,1299,Generation X
Albania,2000,male,15-24 years,5.0,240000,Albania2000,1299,Generation X
Albania,2000,female,35-54 years,5.0,332200,Albania2000,1299,Boomers
Albania,2000,female,25-34 years,3.0,245800,Albania2000,1299,Generation X
Albania,2000,male,35-54 years,4.0,374700,Albania2000,1299,Boomers
Albania,2000,male,5-14 years,1.0,374900,Albania2000,1299,Millenials
Albania,2000,female,5-14 years,0.0,324700,Albania2000,1299,Millenials
Albania,2000,female,55-74 years,0.0,168000,Albania2000,1299,Silent
Albania,2001,male,25-34 years,22.0,206484,Albania2001,1451,Generation X
Albania,2001,male,35-54 years,34.0,378826,Albania2001,1451,Boomers
Albania,2001,male,55-74 years,11.0,196670,Albania2001,1451,Silent
Albania,2001,female,75+ years,2.0,47254,Albania2001,1451,Silent
Albania,2001,male,15-24 years,10.0,256039,Albania2001,1451,Millenials
Albania,2001,female,15-24 years,9.0,271359,Albania2001,1451,Millenials
Albania,2001,female,35-54 years,12.0,370191,Albania2001,1451,Boomers
Albania,2001,male,75+ years,1.0,31044,Albania2001,1451,Silent
Albania,2001,female,55-74 years,6.0,189799,Albania2001,1451,Silent
Albania,2001,male,5-14 years,6.0,321556,Albania2001,1451,Millenials
Albania,2001,female,25-34 years,4.0,222771,Albania2001,1451,Generation X
Albania,2001,female,5-14 years,2.0,307356,Albania2001,1451,Millenials
Albania,2002,male,75+ years,4.0,31007,Albania2002,1573,Silent
Albania,2002,male,25-34 years,23.0,206286,Albania2002,1573,Generation X
Albania,2002,male,35-54 years,35.0,382139,Albania2002,1573,Boomers
Albania,2002,male,55-74 years,13.0,198130,Albania2002,1573,Silent
Albania,2002,male,15-24 years,15.0,263067,Albania2002,1573,Millenials
Albania,2002,female,15-24 years,14.0,275970,Albania2002,1573,Millenials
Albania,2002,female,35-54 years,15.0,375113,Albania2002,1573,Boomers
Albania,2002,female,25-34 years,7.0,223685,Albania2002,1573,Generation X
Albania,2002,female,75+ years,1.0,47407,Albania2002,1573,Silent
Albania,2002,female,55-74 years,4.0,191712,Albania2002,1573,Silent
Albania,2002,female,5-14 years,1.0,304850,Albania2002,1573,Millenials
Albania,2002,male,5-14 years,1.0,319473,Albania2002,1573,Millenials
Albania,2003,female,75+ years,6.0,49088,Albania2003,2021,Silent
Albania,2003,male,55-74 years,16.0,201520,Albania2003,2021,Silent
Albania,2003,male,35-54 years,28.0,386196,Albania2003,2021,Boomers
Albania,2003,male,15-24 years,15.0,273235,Albania2003,2021,Millenials
Albania,2003,female,15-24 years,14.0,283709,Albania2003,2021,Millenials
Albania,2003,female,55-74 years,9.0,195699,Albania2003,2021,Silent
Albania,2003,male,25-34 years,9.0,205433,Albania2003,2021,Generation X
Albania,2003,female,25-34 years,9.0,222941,Albania2003,2021,Generation X
Albania,2003,female,35-54 years,13.0,381760,Albania2003,2021,Boomers
Albania,2003,male,75+ years,1.0,32667,Albania2003,2021,Silent
Albania,2003,male,5-14 years,4.0,313204,Albania2003,2021,Millenials
Albania,2003,female,5-14 years,0.0,298477,Albania2003,2021,Millenials
Albania,2004,male,75+ years,4.0,35526,Albania2004,2544,Silent
Albania,2004,male,35-54 years,39.0,391767,Albania2004,2544,Boomers
Albania,2004,male,25-34 years,16.0,203938,Albania2004,2544,Generation X
Albania,2004,female,15-24 years,20.0,292268,Albania2004,2544,Millenials
Albania,2004,male,15-24 years,19.0,286768,Albania2004,2544,Millenials
Albania,2004,female,75+ years,3.0,50970,Albania2004,2544,Silent
Albania,2004,female,25-34 years,11.0,222389,Albania2004,2544,Generation X
Albania,2004,male,55-74 years,10.0,207202,Albania2004,2544,Silent
Albania,2004,female,35-54 years,17.0,391436,Albania2004,2544,Boomers
Albania,2004,female,55-74 years,3.0,203841,Albania2004,2544,Silent
Albania,2004,female,5-14 years,3.0,286705,Albania2004,2544,Millenials
Albania,2004,male,5-14 years,1.0,302181,Albania2004,2544,Millenials
Albania,2005,female,15-24 years,0.0,281922,Albania2005,2931,Millenials
Albania,2005,female,25-34 years,0.0,190745,Albania2005,2931,Generation X
Albania,2005,female,35-54 years,0.0,386513,Albania2005,2931,Boomers
Albania,2005,female,5-14 years,0.0,276559,Albania2005,2931,Millenials
Albania,2005,female,55-74 years,0.0,210998,Albania2005,2931,Silent
Albania,2005,female,75+ years,0.0,53191,Albania2005,2931,Silent
Albania,2005,male,15-24 years,0.0,281675,Albania2005,2931,Millenials
Albania,2005,male,25-34 years,0.0,177519,Albania2005,2931,Generation X
Albania,2005,male,35-54 years,0.0,380242,Albania2005,2931,Boomers
Albania,2005,male,5-14 years,0.0,291367,Albania2005,2931,Millenials
Albania,2005,male,55-74 years,0.0,214118,Albania2005,2931,Silent
Albania,2005,male,75+ years,0.0,38471,Albania2005,2931,Silent
Albania,2006,female,15-24 years,0.0,283138,Albania2006,3235,Millenials
Albania,2006,female,25-34 years,0.0,186391,Albania2006,3235,Generation X
Albania,2006,female,35-54 years,0.0,388746,Albania2006,3235,Boomers
Albania,2006,female,5-14 years,0.0,267316,Albania2006,3235,Millenials
Albania,2006,female,55-74 years,0.0,215907,Albania2006,3235,Silent
Albania,2006,female,75+ years,0.0,56011,Albania2006,3235,Silent
Albania,2006,male,15-24 years,0.0,286679,Albania2006,3235,Millenials
Albania,2006,male,25-34 years,0.0,174092,Albania2006,3235,Generation X
Albania,2006,male,35-54 years,0.0,379076,Albania2006,3235,Boomers
Albania,2006,male,5-14 years,0.0,282678,Albania2006,3235,Millenials
Albania,2006,male,55-74 years,0.0,219360,Albania2006,3235,Silent
Albania,2006,male,75+ years,0.0,40782,Albania2006,3235,Silent
Albania,2007,male,75+ years,8.0,42366,Albania2007,3863,Silent
Albania,2007,male,35-54 years,29.0,378626,Albania2007,3863,Boomers
Albania,2007,male,55-74 years,14.0,224160,Albania2007,3863,Silent
Albania,2007,female,75+ years,3.0,57404,Albania2007,3863,Silent
Albania,2007,male,25-34 years,9.0,172494,Albania2007,3863,Generation X
Albania,2007,female,15-24 years,13.0,281080,Albania2007,3863,Millenials
Albania,2007,male,15-24 years,13.0,288349,Albania2007,3863,Millenials
Albania,2007,female,25-34 years,8.0,183629,Albania2007,3863,Generation X
Albania,2007,female,55-74 years,9.0,221120,Albania2007,3863,Silent
Albania,2007,female,35-54 years,14.0,391811,Albania2007,3863,Boomers
Albania,2007,male,5-14 years,4.0,272497,Albania2007,3863,Generation Z
Albania,2007,female,5-14 years,0.0,256808,Albania2007,3863,Generation Z
Albania,2008,male,25-34 years,21.0,172855,Albania2008,4672,Generation X
Albania,2008,male,35-54 years,37.0,377119,Albania2008,4672,Boomers
Albania,2008,male,55-74 years,21.0,228672,Albania2008,4672,Silent
Albania,2008,female,75+ years,5.0,59369,Albania2008,4672,Silent
Albania,2008,female,15-24 years,20.0,276073,Albania2008,4672,Millenials
Albania,2008,female,25-34 years,9.0,182663,Albania2008,4672,Generation X
Albania,2008,female,35-54 years,19.0,393832,Albania2008,4672,Boomers
Albania,2008,male,75+ years,2.0,44574,Albania2008,4672,Silent
Albania,2008,male,15-24 years,11.0,286702,Albania2008,4672,Millenials
Albania,2008,female,55-74 years,7.0,226448,Albania2008,4672,Silent
Albania,2008,male,5-14 years,7.0,262464,Albania2008,4672,Generation Z
