Description,Pro?,Unlock?,Max?,Color,GB,Price
iPhone 11 Pro Max 512GB - Midnight Green Unlocked,1,1,1,Midnight Green,512GB,7.07326124284753
iPhone 11 256GB - Purple Unlocked,0,1,0,Purple,256GB,6.565250885429132
iPhone 11 64GB - Black Unlocked,0,1,0,Black,64GB,6.447305862541213
iPhone 11 Pro Max 512GB - Silver Unlocked,1,1,1,Silver,512GB,7.07326124284753
iPhone 11 Pro 512GB - Silver Unlocked,1,1,0,Silver,512GB,6.835152327562483
iPhone 11 128GB - Black Unlocked,0,1,0,Black,128GB,6.495250450082734
iPhone 11 Pro 256GB - Space Gray Unlocked,1,1,0,Space Gray,256GB,6.827618400207975
iPhone 11 128GB - Red Unlocked,0,1,0,Red,128GB,6.576469569048224
iPhone 11 Pro 64GB - Space Gray Unlocked,1,1,0,Space Gray,64GB,6.7510897729619295
iPhone 11 Pro 256GB - Midnight Green Unlocked,1,1,0,Midnight Green,256GB,6.844804829524292
iPhone 11 Pro 512GB - Space Gray Unlocked,1,1,0,Space Gray,512GB,6.956535919296694
iPhone 11 Pro Max 64GB - Silver Unlocked,1,1,1,Silver,64GB,6.906754778648554
iPhone 11 64GB - Purple Unlocked,0,1,0,Purple,64GB,6.476972362889683
iPhone 11 64GB - White Unlocked,0,1,0,White,64GB,6.4967749901858625
iPhone 11 128GB - White Unlocked,0,1,0,White,128GB,6.579251212010101
iPhone 11 Pro 256GB - Gold Unlocked,1,1,0,Gold,256GB,6.887542367530923
iPhone 11 Pro Max 256GB - Midnight Green Unlocked,1,1,1,Midnight Green,256GB,6.976338733335997
iPhone 11 64GB - Green Unlocked,0,1,0,Green,64GB,6.51471269087253
iPhone 11 Pro 256GB - Silver Unlocked,1,1,0,Silver,256GB,6.897694842067519
iPhone 11 64GB - Black T-Mobile,0,0,0,Black,64GB,6.405211928968617
iPhone 11 256GB - Black Unlocked,0,1,0,Black,256GB,6.565250885429132
iPhone 11 Pro 64GB - Gold Unlocked,1,1,0,Gold,64GB,6.744059186311348
iPhone 11 Pro Max 64GB - Midnight Green Unlocked,1,1,1,Midnight Green,64GB,6.80128303447162
iPhone 11 64GB - Purple T-Mobile,0,0,0,Purple,64GB,6.444131256700441
iPhone 11 256GB - Green Unlocked,0,1,0,Green,256GB,6.586157861656101
iPhone 11 Pro 512GB - Midnight Green Unlocked,1,1,0,Midnight Green,512GB,6.9421470438170445
iPhone 11 Pro Max 256GB - Silver Unlocked,1,1,1,Silver,256GB,7.029964062109706
iPhone 11 64GB - Red Unlocked,0,1,0,Red,64GB,6.476972362889683
iPhone 11 Pro 512GB - Gold Unlocked,1,1,0,Gold,512GB,6.970720688428081
iPhone 11 Pro Max 256GB - Space Gray Unlocked,1,1,1,Space Gray,256GB,6.993923800869179
iPhone 11 Pro Max 256GB - Gold Unlocked,1,1,1,Gold,256GB,7.012106285256789
iPhone 11 Pro Max 512GB - Gold Unlocked,1,1,1,Gold,512GB,7.07326124284753
iPhone 11 256GB - Red Unlocked,0,1,0,Red,256GB,6.565250885429132
iPhone 11 Pro Max 64GB - Space Gray Unlocked,1,1,1,Space Gray,64GB,6.80128303447162
iPhone 11 Pro Max 64GB - Gold Unlocked,1,1,1,Gold,64GB,6.876264611890766
iPhone 11 Pro Max 256GB - Space Gray Unlocked,1,1,1,Space Gray,256GB,6.978204422922778
iPhone 11 64GB - Red - T-Mobile,0,0,0,Red,64GB,6.395261598115449
iPhone 11 128GB - Green Unlocked,0,1,0,Green,128GB,6.551066049227077
iPhone 11 Pro 64GB - Silver Unlocked,1,1,0,Silver,64GB,6.762717946171413
iPhone 11 Pro Max 256GB - Gold AT&T,1,0,1,Gold,256GB,6.7684817173296965
iPhone 11 Pro 64GB - Midnight Green Unlocked,1,1,0,Midnight Green,64GB,6.7684817173296965
iPhone 11 64GB - White T-Mobile,0,0,0,White,64GB,6.444131256700441
iPhone 11 64GB - Red AT&T,0,0,0,Red,64GB,6.481577129276431
iPhone 11 Pro Max 64GB - Midnight Green AT&T,1,0,1,Midnight Green,64GB,6.828701249072298
iPhone 11 Pro Max 512GB - Space Gray Unlocked,1,1,1,Space Gray,512GB,7.063039601707685
iPhone 11 64GB - Red AT&T,0,0,0,Red,64GB,6.530877627725885
iPhone 11 64GB - Red T-Mobile,0,0,0,Red,64GB,6.56244409369372
iPhone 11 128GB - Red - Verizon,0,0,0,Red,128GB,6.608000625296087
