,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",8,explain 0.8,0,12,0.753796918349571
1,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",9,explain 0.85,0,12,0.7451355732627911
2,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",11,explain 0.9,0,12,0.7466975691980128
3,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",14,explain 0.95,0,12,0.7418714513839604
4,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",33,1.74 k,1,12,0.6799640299374154
5,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",35,1.84 k,1,12,0.6761327343699592
6,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",37,1.95 k,1,12,0.6820946109426413
7,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",9,0.47 k,1,12,0.7039648727337248
8,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",11,0.58 k,1,12,0.6703042333376347
9,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",13,0.68 k,1,12,0.6488697859539325
10,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",15,0.79 k,1,12,0.6693131411703981
11,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",17,0.89 k,1,12,0.664906002000129
12,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",19,1.00 k,1,12,0.6643416510742629
13,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",21,1.11 k,1,12,0.6802406606877863
14,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",23,1.21 k,1,12,0.6708729192205948
15,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",25,1.32 k,1,12,0.674136335408736
16,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",27,1.42 k,1,12,0.6816670631976257
17,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",29,1.53 k,1,12,0.686921031195561
18,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",31,1.63 k,1,12,0.69245949335441
19,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",18,explain 0.8,1,12,0.6650535921672367
20,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",22,explain 0.85,1,12,0.6731445375508097
21,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",27,explain 0.9,1,12,0.6816670631976257
22,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",36,explain 0.95,1,12,0.6867799938705723
23,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",33,1.74 k,2,12,0.68166696238467
