,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",17,explain 0.8,0,12,0.6712268443788136
1,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",22,explain 0.85,0,12,0.6934727722970565
2,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",29,explain 0.9,0,12,0.6445542166138356
3,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",39,explain 0.95,0,12,0.6574011941525757
4,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",128,1.78 k,1,12,0.6420565601113875
5,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",130,1.81 k,1,12,0.6616311320476304
6,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",132,1.83 k,1,12,0.6335421624503117
7,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",134,1.86 k,1,12,0.6234795721031643
8,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",136,1.89 k,1,12,0.6737303942240591
9,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",138,1.92 k,1,12,0.6387557465669369
10,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",140,1.94 k,1,12,0.6348269256807445
11,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",142,1.97 k,1,12,0.6251746409179251
12,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",144,2.00 k,1,12,0.6596627368491074
13,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",36,0.50 k,1,12,0.6783799053293867
14,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",38,0.53 k,1,12,0.6913091298416651
15,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",40,0.56 k,1,12,0.6805247233394571
16,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",42,0.58 k,1,12,0.650318186019342
17,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",44,0.61 k,1,12,0.7152258199558992
18,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",46,0.64 k,1,12,0.7325706627484864
19,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",48,0.67 k,1,12,0.6385959574692432
20,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",50,0.69 k,1,12,0.6737554760795671
21,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",52,0.72 k,1,12,0.6773294178754915
22,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",54,0.75 k,1,12,0.6579883306699429
23,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",56,0.78 k,1,12,0.6739194034463406
24,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",58,0.81 k,1,12,0.6802473603650642
25,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",60,0.83 k,1,12,0.6653468021237054
26,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",62,0.86 k,1,12,0.6430485656261471
27,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",64,0.89 k,1,12,0.6531592328040525
28,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",66,0.92 k,1,12,0.6226651350516837
29,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",68,0.94 k,1,12,0.6661411886722522
30,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",70,0.97 k,1,12,0.6602221304413993
31,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",72,1.00 k,1,12,0.6360511631785892
32,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",74,1.03 k,1,12,0.6423095023758829
33,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",76,1.06 k,1,12,0.6290367401111291
34,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",78,1.08 k,1,12,0.6088838917787953
35,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",80,1.11 k,1,12,0.6553682358756131
36,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",82,1.14 k,1,12,0.6615562913117963
37,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",84,1.17 k,1,12,0.646772985643383
38,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",86,1.19 k,1,12,0.6516615773850478
39,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",88,1.22 k,1,12,0.6389571758579695
40,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",90,1.25 k,1,12,0.6628991352700316
41,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",92,1.28 k,1,12,0.6469819842458722
42,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",94,1.31 k,1,12,0.6334695657429265
43,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",96,1.33 k,1,12,0.6683026650928744
44,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",98,1.36 k,1,12,0.6726795982571916
45,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",100,1.39 k,1,12,0.6701390734391556
46,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",102,1.42 k,1,12,0.6689154958521358
47,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",104,1.44 k,1,12,0.6635129483301089
48,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",106,1.47 k,1,12,0.6425866982422354
49,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",108,1.50 k,1,12,0.6622478769490291
50,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",110,1.53 k,1,12,0.6643107723559181
51,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",112,1.56 k,1,12,0.6322955308407507
52,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",114,1.58 k,1,12,0.6335588520043589
53,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",116,1.61 k,1,12,0.6310453239854584
54,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",118,1.64 k,1,12,0.6478716007113128
55,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",120,1.67 k,1,12,0.6512711357706331
56,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",122,1.69 k,1,12,0.6613074195770249
57,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",124,1.72 k,1,12,0.6601831147341033
58,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",126,1.75 k,1,12,0.6397298719886835
59,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",31,explain 0.8,1,12,0.6824443552431905
60,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",40,explain 0.85,1,12,0.6805247233394571
61,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",60,explain 0.9,1,12,0.6653468021237054
62,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",99,explain 0.95,1,12,0.6700692602418886
63,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",128,1.78 k,2,12,0.6544695946996482
64,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",130,1.81 k,2,12,0.6495183461304411
65,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",132,1.83 k,2,12,0.654383400772371
66,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",134,1.86 k,2,12,0.6369165128499846
67,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",136,1.89 k,2,12,0.6586749691050573
68,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",138,1.92 k,2,12,0.666597130184009
69,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",140,1.94 k,2,12,0.6608030961839473
70,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",142,1.97 k,2,12,0.6652253056854575
71,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",144,2.00 k,2,12,0.6511928615760965
72,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",36,0.50 k,2,12,0.6912109098370662
73,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",38,0.53 k,2,12,0.7391799612803368
74,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",40,0.56 k,2,12,0.703040386167367
75,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",42,0.58 k,2,12,0.6658027980296698
76,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",44,0.61 k,2,12,0.743699111097535
77,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",46,0.64 k,2,12,0.7071520604298899
78,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",48,0.67 k,2,12,0.7039342157577378
79,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",50,0.69 k,2,12,0.7343947767488087
80,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",52,0.72 k,2,12,0.7323640386676786
81,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",54,0.75 k,2,12,0.6656879244667657
82,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",56,0.78 k,2,12,0.6868793829884663
83,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",58,0.81 k,2,12,0.6685386410634646
84,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",60,0.83 k,2,12,0.6472863846743622
85,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",62,0.86 k,2,12,0.6821569117917293
86,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",64,0.89 k,2,12,0.6612846210078807
87,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",66,0.92 k,2,12,0.6556891757860325
88,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",68,0.94 k,2,12,0.6422639221369357
89,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",70,0.97 k,2,12,0.6529803196017097
90,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",72,1.00 k,2,12,0.65094100304919
91,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",74,1.03 k,2,12,0.6471648424252762
92,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",76,1.06 k,2,12,0.6302420283650685
93,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",78,1.08 k,2,12,0.6711880678499957
94,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",80,1.11 k,2,12,0.671783451908343
95,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",82,1.14 k,2,12,0.6442133087591622
96,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",84,1.17 k,2,12,0.6509964800118142
97,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",86,1.19 k,2,12,0.6475180610243568
98,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",88,1.22 k,2,12,0.6847447777738896
99,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",90,1.25 k,2,12,0.6825703551083893
100,"SamplingSelector(iterations=100, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",92,1.28 k,2,12,0.6760867648979924
