,run,k,k_method,i,max depth,accuracy
0,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",5,0.45 k,0,12,0.9191944300910582
1,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",7,0.64 k,0,12,0.9204337022241684
2,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",9,0.82 k,0,12,0.9221466285593694
3,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",3,explain 0.8,0,12,0.9243334808172087
4,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",4,explain 0.85,0,12,0.9249992867335612
5,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",5,explain 0.9,0,12,0.9191944300910582
6,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",6,explain 0.95,0,12,0.9275685856628464
7,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",5,0.45 k,1,12,0.8861662993155812
8,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",7,0.64 k,1,12,0.9045389558956792
9,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",9,0.82 k,1,12,0.9167178331554318
10,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",11,1.00 k,1,12,0.9155735273538811
11,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",13,1.18 k,1,12,0.9030130638710849
12,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",15,1.36 k,1,12,0.9025370094708197
13,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",17,1.55 k,1,12,0.9062449080701456
14,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",19,1.73 k,1,12,0.9019625016586275
15,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",21,1.91 k,1,12,0.8992020926105144
