,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",5,0.45 k,0,12,0.9143414558152954
1,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",7,0.64 k,0,12,0.9214800074813724
2,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",9,0.82 k,0,12,0.9208129335357954
3,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",6,explain 0.8,0,12,0.9166259010366591
4,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",7,explain 0.85,0,12,0.9214800074813724
5,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",8,explain 0.9,0,12,0.9071133269418622
6,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",9,explain 0.95,0,12,0.9208129335357954
7,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",5,0.45 k,1,12,0.9160515290847411
8,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",7,0.64 k,1,12,0.8887331527599335
9,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",9,0.82 k,1,12,0.8952032718776932
10,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",11,1.00 k,1,12,0.8961553353914656
11,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",13,1.18 k,1,12,0.8959654480151039
12,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",15,1.36 k,1,12,0.8656134023443144
13,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",17,1.55 k,1,12,0.8647566674561658
14,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",19,1.73 k,1,12,0.8736032092008201
15,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",21,1.91 k,1,12,0.8711300540588031
16,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",14,explain 0.8,1,12,0.8659938563984074
17,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",17,explain 0.85,1,12,0.8647566674561658
18,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",21,explain 0.9,1,12,0.8711300540588031
19,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=1000))",26,explain 0.95,1,12,0.8869253053799311
