,run,k,k_method,i,max depth,accuracy
0,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",3,0.43 k,0,12,0.6312243454536356
1,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",2,explain 0.8,0,12,0.607841530714413
2,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",3,explain 0.85,0,12,0.6312243454536356
3,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",3,explain 0.9,0,12,0.6312243454536356
4,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",3,explain 0.95,0,12,0.6312243454536356
5,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",3,0.43 k,1,12,0.6012196174403845
6,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",5,0.71 k,1,12,0.6078790748492443
7,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",7,1.00 k,1,12,0.6241159892589059
8,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",9,1.29 k,1,12,0.6436079815582986
9,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",11,1.57 k,1,12,0.641438141943287
10,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",13,1.86 k,1,12,0.6342550264450274
11,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",20,explain 0.8,1,12,0.5708404349772191
12,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",24,explain 0.85,1,12,0.5727860596751564
13,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",28,explain 0.9,1,12,0.575442139231766
14,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",33,explain 0.95,1,12,0.5757416453976063
15,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",3,0.43 k,2,12,0.6097870084274823
16,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",5,0.71 k,2,12,0.6173818705364283
17,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",7,1.00 k,2,12,0.6099740011765789
18,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",9,1.29 k,2,12,0.5970294568174206
19,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",11,1.57 k,2,12,0.5911929746832564
20,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",13,1.86 k,2,12,0.6064948133589647
21,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",27,explain 0.8,2,12,0.6207117777224835
22,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",36,explain 0.85,2,12,0.5565863254377963
23,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",46,explain 0.9,2,12,0.5605894233188693
24,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",63,explain 0.95,2,12,0.5736840672252791
25,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",3,0.43 k,3,12,0.5948967763768719
26,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",5,0.71 k,3,12,0.603090167867218
27,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",7,1.00 k,3,12,0.6037261573920965
28,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",9,1.29 k,3,12,0.6198509013497061
29,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",11,1.57 k,3,12,0.6185041349993018
30,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",13,1.86 k,3,12,0.6185416021420596
31,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",37,explain 0.8,3,12,0.638519995366477
32,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",47,explain 0.85,3,12,0.6365370645092088
33,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",68,explain 0.9,3,12,0.5690450918077985
34,"CHCGASelector(iterations=100, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=500))",106,explain 0.95,3,12,0.5626848325964842
