,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",4,0.50 k,0,12,0.8688013171938831
1,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",6,0.75 k,0,12,0.8599340416206311
2,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",4,explain 0.8,0,12,0.8688013171938831
3,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",4,explain 0.85,0,12,0.8688013171938831
4,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",5,explain 0.9,0,12,0.8648190303444354
5,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",6,explain 0.95,0,12,0.8599340416206311
6,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",4,0.50 k,1,12,0.8639165117426245
7,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",6,0.75 k,1,12,0.866942764406949
8,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",8,1.00 k,1,12,0.8696507431490256
9,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",10,1.25 k,1,12,0.8747476654249716
10,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",12,1.50 k,1,12,0.8721460129551133
11,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",14,1.75 k,1,12,0.8703408347726104
12,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",16,2.00 k,1,12,0.8675799043627466
13,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",8,explain 0.8,1,12,0.8696507431490256
14,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",10,explain 0.85,1,12,0.8747476654249716
15,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",13,explain 0.9,1,12,0.869809823718597
16,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",17,explain 0.95,1,12,0.8667834864669437
17,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",4,0.50 k,2,12,0.8639165117426245
18,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",6,0.75 k,2,12,0.8679514683020969
19,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",8,1.00 k,2,12,0.8675797915796416
20,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",10,1.25 k,2,12,0.8739513462143857
21,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",12,1.50 k,2,12,0.8716681932329855
22,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",14,1.75 k,2,12,0.8701815850283812
23,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",16,2.00 k,2,12,0.8671550645041822
24,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",8,explain 0.8,2,12,0.8675797915796416
25,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",11,explain 0.85,2,12,0.8735264781600451
26,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",16,explain 0.9,2,12,0.8671550645041822
27,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",23,explain 0.95,2,12,0.8634916154925076
28,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",4,0.50 k,3,12,0.8639165117426245
29,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",6,0.75 k,3,12,0.866942764406949
30,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",8,1.00 k,3,12,0.8694914652090203
31,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",10,1.25 k,3,12,0.8747476654249718
32,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",12,1.50 k,3,12,0.8716681932329855
33,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",14,1.75 k,3,12,0.8707657028269509
34,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",16,2.00 k,3,12,0.8663058077236971
35,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",9,explain 0.8,3,12,0.8694913524259154
36,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",12,explain 0.85,3,12,0.8716681932329855
37,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",16,explain 0.9,3,12,0.8663058077236971
38,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",24,explain 0.95,3,12,0.8645004603665367
39,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",4,0.50 k,4,12,0.8639165117426245
40,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",6,0.75 k,4,12,0.866942764406949
41,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",8,1.00 k,4,12,0.8696507431490256
42,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",10,1.25 k,4,12,0.8742699020943963
43,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",12,1.50 k,4,12,0.8722521982484501
44,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",14,1.75 k,4,12,0.867633011107303
45,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",16,2.00 k,4,12,0.8670488228192929
46,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",8,explain 0.8,4,12,0.8696507431490256
47,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",10,explain 0.85,4,12,0.8742699020943963
48,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",14,explain 0.9,4,12,0.867633011107303
49,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",23,explain 0.95,4,12,0.8640226124486325
