,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",7,0.47 k,0,12,0.8184972947697498
1,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",9,0.60 k,0,12,0.8213227297059632
2,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",11,0.73 k,0,12,0.8215068587074574
3,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",13,0.87 k,0,12,0.8247316367076847
4,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",6,explain 0.8,0,12,0.818957935574702
5,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",6,explain 0.85,0,12,0.818957935574702
6,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",7,explain 0.9,0,12,0.8184972947697498
7,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",9,explain 0.95,0,12,0.8213227297059632
8,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",7,0.47 k,1,12,0.779953559145176
9,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",9,0.60 k,1,12,0.7770052646549652
10,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",11,0.73 k,1,12,0.780629711093783
11,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",13,0.87 k,1,12,0.7856667971937433
12,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",15,1.00 k,1,12,0.7830868172934041
13,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",17,1.13 k,1,12,0.7866190271130391
14,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",19,1.27 k,1,12,0.7941435405507262
15,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",21,1.40 k,1,12,0.7863419211473104
16,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",23,1.53 k,1,12,0.7555385543409494
17,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",25,1.67 k,1,12,0.7481678676289455
18,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",27,1.80 k,1,12,0.7626943004937017
19,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",29,1.93 k,1,12,0.7546784525826442
20,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",14,explain 0.8,1,12,0.7774973253266666
21,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",17,explain 0.85,1,12,0.7866190271130391
22,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",22,explain 0.9,1,12,0.7822571592781173
23,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",30,explain 0.95,1,12,0.7634622882377373
24,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",7,0.47 k,2,12,0.7790322445262565
25,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",9,0.60 k,2,12,0.7785716603081871
26,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",11,0.73 k,2,12,0.7639528776504825
27,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",13,0.87 k,2,12,0.7867722266674362
28,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",15,1.00 k,2,12,0.779739523976051
29,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",17,1.13 k,2,12,0.7844385317439209
30,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",19,1.27 k,2,12,0.791748005595311
31,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",21,1.40 k,2,12,0.7925771496130777
32,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",23,1.53 k,2,12,0.791501800783238
33,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",25,1.67 k,2,12,0.7895361610930474
34,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",27,1.80 k,2,12,0.7883688491472922
35,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",29,1.93 k,2,12,0.7813972178493136
36,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",15,explain 0.8,2,12,0.779739523976051
37,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",20,explain 0.85,2,12,0.7873250710825561
38,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",26,explain 0.9,2,12,0.7956782569806522
39,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",38,explain 0.95,2,12,0.7904264943935603
40,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",7,0.47 k,3,12,0.7784179939120058
41,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",9,0.60 k,3,12,0.773872968483747
42,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",11,0.73 k,3,12,0.7809672518504854
43,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",13,0.87 k,3,12,0.7869869550258772
44,"SamplingSelector(iterations=200, evaluator=FeatureEvaluator(folds=8, max_depth=4, sample=500))",15,1.00 k,3,12,0.7865261020201141
